附件1：违法网站域名（13480个）,,,,
序号,网站名称,URL,网站IP地址,类别
272,"气枪货到付款 ",http://www.2009gb.com,74.82.170.54,涉枪
273,气枪专卖网,http://www.333zaxsqaws333.com,72.11.151.60,涉枪
274,"中国气枪网 
",http://www.51pcp.org,203.208.132.12,涉枪
275,"气枪爱好收藏网 ",http://www.520qigou.com,74.82.170.117,涉枪
276,汽狗专卖网,http://www.53907.com,98.126.1.180,涉枪
277,58pcp配件网,http://www.58pcp.com,174.128.252.44,涉枪
278,PCP专卖网,http://www.5dpcp.com,173.224.218.212,涉枪
279,野外打猎工具专卖网,http://www.60272.com,180.178.40.61,涉枪
280,狗痴一族,http://www.60704.com,202.66.75.209,涉枪
281,"汽狗批发网 
",http://www.666jpw.com,76.73.116.132,涉枪
282,气枪专卖网,http://www.666zaxsqaws666.com,72.11.151.54,涉枪
283,"卖枪,气枪专卖网 
",http://www.7x2.cn,123.108.109.141,涉枪
284,气枪专卖公司,http://www.8888.qpoe.com,204.16.173.28,涉枪
285,"中国气枪销售网 ",http://www.8cs8.net,184.22.136.133,涉枪
286,气枪专卖,http://www.9991mq.com,64.32.22.246,涉枪
287,气枪专卖网,http://www.999zaxsqaws999.com,72.11.151.60,涉枪
288,九江气枪网,http://www.9j.qiqiang.co,184.168.137.104,涉枪
289,"气枪专卖网 (66)",http://www.9u9zm.com,174.139.107.235,涉枪
290,工字牌专卖网,http://www.ak98.co,184.171.169.34,涉枪
291,"气枪专卖网 ",http://www.akmsh.3-a.net,204.16.173.2,涉枪
292,"工字牌气枪 
",http://www.baidu.com.vipairgun.com,38.100.19.120,涉枪
293,天津诚信办证服务网,http://www.banzhengtj.org,216.83.60.30,涉枪
294,"气枪专卖 ",http://www.bentengzuche.com,202.66.52.91,涉枪
295,长期出售各种气枪气狗,http://www.bfebhu.com,72.11.151.53,涉枪
296,高压气枪|气枪,http://www.bj121.net,174.139.216.68,涉枪
297,"气枪货到付款 ",http://www.bjcxkt.com,74.91.31.110,涉枪
298,北京气枪批发网,http://www.bt645643.tk,93.170.52.20,涉枪
299,装备在线网,http://www.caonibi.net,184.105.159.133,涉枪
300,"气枪货到付款 
",http://www.cdfdgg.com,74.91.31.107,涉枪
301,"气枪专卖网 ",http://www.cfx6688.com,180.178.56.30,涉枪
302,潮州气枪专卖网,http://www.chaozhouqiqiang.in,173.252.204.140,涉枪
303,诚信汽狗网,http://www.chengxinqg.com,67.228.200.135,涉枪
304,猎友之家,http://www.chinalietan.com,66.96.147.113,涉枪
305,南昌气枪货到付款,http://www.chinaqiqiang.net,98.126.143.114,涉枪
306,金盾集团,http://www.chushoulieqiang.com,66.79.179.115,涉枪
307,"气枪世界网 ",http://www.cityqm.com,63.221.138.20,涉枪
308,"中国气枪网 ",http://www.cnairgun.net,184.22.136.132,涉枪
309,上海工字气枪,http://www.cnqiqiang.com,216.24.195.150,涉枪
310,酷的源码论坛,http://www.codesns.com,173.83.150.9,涉枪
311,长沙气枪网,http://www.cs.qiqiang.co,184.168.137.104,涉枪
312,"工字气枪专卖网 ",http://www.csgzqq.com,184.22.136.132,涉枪
313,"长沙气枪专卖 ",http://www.csqiqiang.in,173.252.220.113,涉枪
314,诚信汽狗专卖,http://www.cx79w.com,98.126.14.195,涉枪
315,世界名枪,http://www.cxqw8.com,98.126.14.194,涉枪
316,"气枪专卖网 ",http://www.danshan3.com,49.247.252.217,涉枪
317,"支持支付宝气枪 
",http://www.daofukuan.org,50.6.44.48,涉枪
318,刀客网,http://www.daoke5.com,96.126.116.99,涉枪
319,达州气枪网,http://www.dazhouqiqiang.in,173.252.224.135,涉枪
320,"生存游戏 ",http://www.deborourke.com,72.41.190.131,涉枪
321,东莞气枪出售网,http://www.dg.qiqiang.co,184.168.137.104,涉枪
322,雄鹰气枪网,http://www.diangouzhuanmai.com,74.82.170.54,涉枪
323,气枪专卖网,http://www.dongguangqiqiang.in,173.252.204.140,涉枪
324,汽狗商店,http://www.drpcp.com,74.91.20.179,涉枪
325,地下铁情感网,http://www.dxt520.com,113.28.117.31,涉枪
326,"气枪专卖 ",http://www.eeem.dns05.com,204.16.173.6,涉枪
327,"晶晶气枪网 ",http://www.ewsd62.lflinkup.org,204.16.173.30,涉枪
328,仿真抢专卖店,http://www.fangzhenqiang1.com,184.168.212.251,涉枪
329,"仿真枪专卖店| 
",http://www.fangzhenqiang99.com,174.140.166.112,涉枪
330,"气枪货到付款 
",http://www.fjqjj.com,173.208.189.153,涉枪
331,阿拉善气枪专卖网,http://www.foshanqiqiang.in,173.252.204.140,涉枪
332,抚州气枪专卖网,http://www.fuzhouqiqiang.in,173.252.196.190,涉枪
333,"宾果商城 ",http://www.fzq007.com,182.16.31.219,涉枪
334,"气枪货到付款 ",http://www.fzqigou.com,97.74.215.166,涉枪
335,"气枪汽狗 ",http://www.fzqmx.com,98.126.73.93,涉枪
336,上海k2军品网,http://www.gamo168.cn,98.126.20.61,涉枪
337,凯旋气狗专卖,http://www.gamo610.com,67.228.200.129,涉枪
338,赣州气枪专卖网,http://www.ganzhouqiqiang.in,173.252.196.190,涉枪
339,"美国秃鹰气枪销售 
",http://www.gaomqiqiang.info,183.90.185.33,涉枪
340,"汽枪货到付款| 
",http://www.gaoyaqiang.com,205.209.184.134,涉枪
341,汽枪汽枪专卖,http://www.gong2233.com,98.126.226.36,涉枪
342,上海工字牌专业销售,http://www.gongzi520.com,98.126.70.114,涉枪
343,"工字气枪专卖网 ",http://www.gongzipaiqq.net,184.82.181.17,涉枪
344,"气枪货到付款 ",http://www.gongziqiang.com,97.74.215.166,涉枪
345,"上海气枪专卖 
",http://www.goog.com.vipairgun.com,38.100.19.120,涉枪
346,狗八千,http://www.gou8000.com,96.46.15.172,涉枪
347,"气枪销售网 ",http://www.gqqwang.com,184.22.136.133,涉枪
348,"气枪专卖网 (65)",http://www.gun17.com,61.209.253.9,涉枪
349,广州气枪,http://www.gz.qiqiang.co,184.168.137.100,涉枪
350,上海工字牌气枪新闻官方网,http://www.gz879.com,110.34.159.34,涉枪
351,"气枪货到付款 
",http://www.gzhehu.com,173.208.189.157,涉枪
352,"气枪专卖网 ",http://www.gzqiqiang168.com,173.254.208.242,涉枪
353,"上海气枪,工字气枪 
",http://www.gzqqf.com,184.82.181.169,涉枪
354,"上海气枪,工字气枪 
",http://www.gzqqh.com,184.22.136.132,涉枪
